2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
,Callum Robinson,,,,453.0,d9b30dda-03d9-4426-a444-fbf47c9e8ec0
,Ravel Morrison,,,,456.0,6d036f85-cfed-416f-b057-ee39c267bdae
,Dean Henderson,,,,471.0,e31e6d4d-60ba-4bd7-9480-97581a44ae0d
,Ben Osborn,,,,472.0,e4738aaf-940d-4f8d-b979-e10f077d948e
,Che Adams,,,,437.0,16d13beb-230f-484f-b9b3-1b8dd77cdbdb
,Moussa Djenepo,,,,438.0,06f276a6-ba01-40ee-b3c2-2f48346904aa
,Tanguy Ndombele,,,,442.0,95fd7dbe-f1e8-4da0-a812-0f6ab60b0de0
,Roberto Jimenez Gago,,,,450.0,cf2c073f-3234-46d3-84ef-ae77cc68a9d4
,Sébastien Haller,,,,457.0,358d9289-31f8-40eb-a746-03f165db6a09
,Jesús Vallejo Lázaro,,,,473.0,d3a64296-1b68-4e32-83fe-547f4601148f
,Patrick Cutrone,,,,487.0,309d64c4-4e02-4916-b79d-e0dc5bdfda10
